window_title,quadrant
rescheduling Follow-Up Request (Telegram),2
attending Quick Question,2
approving Schedule Change,2
attending Task Reminder (Zoom),2
updating Schedule Change,2
project proposal Simulating on Proteus [deadline],0
emergency: Algorithms (Microsoft Word),0
time-sensitive: Logic Gates (Canvas),0
approving Email Replies (Zoom),2
project proposal Coding on Google Docs [pressing],0
high-priority: Project Proposal (Proteus),0
Coding source code - asap,0
updating Group Chat (Telegram),2
updating Discord Ping (Messenger),2
high-priority: Final Report (Jupyter Notebook),0
replying Chat Support,2
forwarding Quick Call (Messenger),2
planning for Thesis,1
outlining for Exam Review,1
Prototype Improvement backup management,1
approving Inbox Review (Canvas Notifications),2
improving Future Proposal Drafting,1
Debugging laboratory exercise - important,0
Designing project proposal - final,0
critical: presentation slides (Excel),0
Embedded Systems Formatting on Canvas [asap],0
checking Task Reminder (Gmail),2
high-priority: final report (StackOverflow),0
submission Testing on Google Docs [important],0
Exam Review monitoring,1
planning for Knowledge Review,1
submission Testing on Microsoft Word [asap],0
Organizational Planning monitoring,1
acknowledging Schedule Change (Gmail),2
Minor Revision - Microsoft Teams,2
Document Signature - Facebook,2
Compiling laboratory exercise - deadline,0
Testing presentation slides - emergency,0
checking Approval Request,2
laboratory exercise Drafting on Excel [important],0
high-priority: final report (Jupyter Notebook),0
urgent: final report (Canvas),0
planning for Strategic Planning,1
Reschedule Notice - Outlook,2
Quick Call - Gmail,2
learning Learning PostgreSQL,1
forwarding Team Mention (Telegram),2
8086 Assembly preventive review,1
mandatory: Project Proposal (Google Docs),0
important: source code (Jupyter Notebook),0
mandatory: Embedded Systems (Excel),0
Troubleshooting 8086 Assembly - emergency,0
following up Document Signature (Zoom),2
emergency: Logic Gates (Packet Tracer),0
presentation slides Compiling on Jupyter Notebook [urgent],0
Submitting Microprocessors - asap,0
Phone Call - Outlook,2
checking Schedule Change (Canvas Notifications),2
preparing for Workflow Improvement,1
responding Reschedule Notice (Discord),2
scheduling for Cybersecurity Learning,1
preparing for Algorithm Practice,1
Circuit Simulation Formatting on Packet Tracer [critical],0
roadmap creation for Technical Reading,1
confirming Client Inquiry (Zoom),2
Testing laboratory exercise - critical,0
organizing for UI/UX Improvement,1
capstone revision Designing on Google Docs [mandatory],0
Database Management Formatting on StackOverflow [asap],0
researching System Architecture,1
Testing Project Proposal - priority,0
Calendar Notification - Messenger,2
reviewing quickly Status Update (Microsoft Teams),2
Reviewing 8086 Assembly - high-priority,0
replying Urgent Reply (WhatsApp),2
Reviewing final report - high-priority,0
time-sensitive: Algorithms (Google Docs),0
instant: laboratory exercise (GitHub),0
Verification Request - Slack,2
important: laboratory exercise (Proteus),0
monitoring Client Inquiry,2
forwarding Group Chat (Discord),2
roadmap creation for Circuit Simulation,1
responding Event Reminder (Facebook),2
Final Report Writing on Proteus [asap],0
Designing Capstone Project - instant,0
approving Administrative Task,2
mastering DevOps Learning,1
updating Reminder Message (Microsoft Teams),2
mandatory: simulation output (Microsoft Word),0
capstone revision Compiling on GitHub [critical],0
final: Microprocessors (Packet Tracer),0
Email Replies - Gmail,2
acknowledging Minor Revision,2
attending Quick Question (Gmail),2
practicing Academic Preparation,1
Database Management Formatting on StackOverflow [pressing],0
Meeting Request - Outlook,2
answering Team Mention,2
Final Report Submitting on StackOverflow [rush],0
Simulating Capstone Project - asap,0
Testing submission - immediate,0
final: Algorithms (Google Docs),0
approving Email Replies (Telegram),2
final report Reviewing on Tinkercad [priority],0
preparing for Strategic Planning,1
System Analysis Debugging on VS Code [emergency],0
reviewing quickly Quick Question,2
reviewing quickly Minor Revision (WhatsApp),2
Submitting Microprocessors - important,0
Debugging simulation output - accelerated,0
mandatory: source code (GitHub),0
rush: Circuit Simulation (Google Docs),0
approving Approval Request,2
strategizing for Performance Optimization,1
researching Research Review,1
Designing Technical Documentation - instant,0
preparing for Research,1
answering Classroom Announcement (Discord),2
Reviewing presentation slides - final,0
planning for Cybersecurity Learning,1
answering Clarification Request (Telegram),2
reviewing quickly Group Chat (Microsoft Teams),2
Testing presentation slides - asap,0
Design Patterns monitoring,1
PostgreSQL Drafting on Canvas [rush],0
Coding capstone revision - emergency,0
acknowledging Quick Call (WhatsApp),2
Reschedule Notice - Google Meet,2
reacting Quick Question (Google Meet),2
final report Debugging on GitHub [pressing],0
capstone revision Debugging on GitHub [important],0
submission Submitting on Tinkercad [pressing],0
mastering Documentation Improvement,1
urgent: PostgreSQL (StackOverflow),0
Clean Code Practice preventive review,1
rescheduling Messenger Chat (Canvas Notifications),2
submission Formatting on Tinkercad [final],0
Testing System Analysis - important,0
planning for Exam Review,1
organizing for Infrastructure Planning,1
practicing Laboratory Exercise,1
Technical Documentation Submitting on VS Code [emergency],0
submission Submitting on Tinkercad [emergency],0
reviewing Embedded Systems,1
Clean Code Practice optimization,1
learning Embedded Systems,1
rush: Final Report (Google Docs),0
Learning PostgreSQL refactoring,1
approving Quick Call (Telegram),2
Embedded Systems Compiling on GitHub [final],0
rescheduling Client Inquiry,2
checking Faculty Notice (Discord),2
confirming Phone Call (Zoom),2
Formatting Final Report - important,0
roadmap creation for Cybersecurity Learning,1
Compiling Database Management - final,0
attending Task Reminder (WhatsApp),2
acknowledging Attendance Check,2
scheduling for Infrastructure Planning,1
Technical Reading preventive review,1
practicing Productivity Planning,1
Technical Documentation Compiling on StackOverflow [important],0
answering Announcement Review (Outlook),2
acknowledging Classroom Announcement (Outlook),2
Email Replies - WhatsApp,2
immediate: Circuit Simulation (Google Docs),0
confirming Phone Call (Canvas Notifications),2
updating Messenger Chat (Facebook),2
high-priority: PostgreSQL (GitHub),0
Circuit Simulation Troubleshooting on Google Docs [important],0
checking Routine Request (Google Meet),2
thesis manuscript Designing on VS Code [high-priority],0
Chat Support - Gmail,2
Queue Monitoring - Gmail,2
attending Reminder Message (Gmail),2
important: Circuit Simulation (Microsoft Word),0
Technical Reading refactoring,1
Coding capstone revision - critical,0
Prototype Improvement monitoring,1
accelerated: documentation (Canvas),0
updating Approval Request (Zoom),2
reviewing quickly Social Media Message,2
Minor Formatting Request - WhatsApp,2
asap: Thesis (Canvas),0
Submitting Database Management - urgent,0
monitoring Approval Request (Google Meet),2
project proposal Troubleshooting on StackOverflow [high-priority],0
practicing Strategic Planning,1
practicing Thesis Planning,1
reviewing Clean Code Practice,1
Design Patterns maintenance,1
strategizing for Data Structure Practice,1
emergency: Final Report (Canvas),0
confirming Reschedule Notice (Gmail),2
replying Announcement Review (Slack),2
responding Clarification Request (Zoom),2
pressing: thesis manuscript (GitHub),0
pressing: Data Structures (Packet Tracer),0
reviewing Technical Documentation,1
deadline: Database Management (Proteus),0
monitoring Technical Support Request (Zoom),2
Notifications - Zoom,2
confirming Quick Call (WhatsApp),2
updating Phone Call,2
Classroom Announcement - Google Meet,2
source code Coding on VS Code [mandatory],0
forwarding Team Mention (Outlook),2
checking Notifications (Zoom),2
Troubleshooting documentation - pressing,0
thesis manuscript Writing on Tinkercad [important],0
Compiling documentation - final,0
researching Git Practice,1
documentation Designing on Jupyter Notebook [pressing],0
Reviewing Database Management - important,0
pressing: Laboratory Exercise (GitHub),0
8086 Assembly Compiling on Proteus [emergency],0
Task Reminder - Microsoft Teams,2
Research Notes preventive review,1
confirming Status Update (WhatsApp),2
simulation output Reviewing on Microsoft Word [high-priority],0
reviewing quickly Task Reminder (Discord),2
Simulating project proposal - time-sensitive,0
priority: capstone revision (StackOverflow),0
approving Classroom Announcement (Discord),2
learning Research,1
roadmap creation for Learning PostgreSQL,1
reacting Reschedule Notice (Gmail),2
attending Reminder Message,2
approving Team Mention (WhatsApp),2
important: Circuit Simulation (GitHub),0
Algorithms Designing on Microsoft Word [urgent],0
mastering Thesis,1
Debugging Database Management - accelerated,0
Code Refactoring cleanup,1
studying Microprocessors,1
Writing source code - urgent,0
Writing PostgreSQL - instant,0
Reviewing 8086 Assembly - priority,0
laboratory exercise Reviewing on VS Code [mandatory],0
responding Announcement Review (Microsoft Teams),2
Microprocessors refactoring,1
Drafting 8086 Assembly - pressing,0
rescheduling Reminder Message (Facebook),2
Compiling thesis manuscript - deadline,0
outlining for Strategic Planning,1
following up Classroom Announcement,2
Simulating Laboratory Exercise - deadline,0
reacting Classroom Announcement,2
Technical Documentation Reviewing on Jupyter Notebook [instant],0
responding Schedule Change,2
Preventive Maintenance monitoring,1
Compiling Final Report - pressing,0
researching Optimization,1
documentation Drafting on Proteus [final],0
Reviewing submission - priority,0
Routine Request - Telegram,2
Phone Call - Canvas Notifications,2
documentation Submitting on Jupyter Notebook [time-sensitive],0
attending Attendance Check,2
improving Performance Optimization,1
important: Database Management (VS Code),0
Final Report Coding on Microsoft Word [emergency],0
Designing Final Report - immediate,0
simulation output Simulating on StackOverflow [critical],0
attending Group Chat (Gmail),2
Reschedule Notice - Telegram,2
Laboratory Exercise Formatting on Google Docs [critical],0
approving Messages,2
Announcement Review - Google Meet,2
final report Formatting on StackOverflow [asap],0
rescheduling Reschedule Notice (Gmail),2
high-priority: thesis manuscript (Tinkercad),0
rescheduling Minor Formatting Request,2
approving Quick Question (Google Meet),2
Simulating Thesis - final,0
instant: Thesis (Excel),0
monitoring Attendance Check (Slack),2
Drafting Final Report - final,0
Laboratory Exercise optimization,1
Simulating documentation - time-sensitive,0
acknowledging Event Reminder (Google Meet),2
mastering Cloud Fundamentals,1
Designing Project Proposal - mandatory,0
reviewing quickly Discord Ping (Discord),2
Writing Algorithms - immediate,0
approving Clarification Request (WhatsApp),2
roadmap creation for Goal Setting,1
Final Report Writing on Google Docs [asap],0
Thesis refactoring,1
preparing for Goal Setting,1
accelerated: presentation slides (Packet Tracer),0
mastering Prototype Improvement,1
preparing for Technical Documentation,1
Optimization backup management,1
Testing thesis manuscript - priority,0
reviewing Circuit Simulation,1
reviewing Strategic Planning,1
improving Algorithms,1
Algorithm Practice preventive review,1
forwarding Task Reminder,2
submission Drafting on Tinkercad [mandatory],0
Reading Materials backup management,1
researching Network Fundamentals,1
Organizational Planning maintenance,1
urgent: System Analysis (Tinkercad),0
final report Submitting on Proteus [final],0
Circuit Simulation Debugging on Microsoft Word [priority],0
Database Management Simulating on Excel [immediate],0
answering Minor Revision (Google Meet),2
priority: Project Proposal (Tinkercad),0
Drafting Project Proposal - critical,0
Reviewing Data Structures - critical,0
strategizing for Organizational Planning,1
asap: simulation output (Tinkercad),0
Reschedule Notice - Discord,2
mandatory: source code (Microsoft Word),0
checking Follow-Up Request (Telegram),2
thesis manuscript Reviewing on Jupyter Notebook [immediate],0
Reviewing submission - pressing,0
confirming Document Signature,2
learning Goal Setting,1
Microprocessors Troubleshooting on Packet Tracer [priority],0
checking Meeting Request (Outlook),2
Final Report Drafting on Microsoft Word [mandatory],0
PostgreSQL Reviewing on Microsoft Word [urgent],0
researching Productivity Planning,1
immediate: Microprocessors (Google Docs),0
learning Strategic Planning,1
monitoring Discord Ping (Telegram),2
mandatory: documentation (Jupyter Notebook),0
capstone revision Drafting on VS Code [urgent],0
8086 Assembly Simulating on Excel [high-priority],0
acknowledging Minor Revision (Slack),2
reviewing quickly Reminder Message,2
studying Research,1
high-priority: System Analysis (Tinkercad),0
attending Announcement Review,2
reacting Minor Revision (Messenger),2
strategizing for Feasibility Analysis,1
Skill Development optimization,1
Final Report Coding on Excel [priority],0
reacting Team Mention,2
Approval Request - Messenger,2
instant: documentation (GitHub),0
Final Report Reviewing on Microsoft Word [time-sensitive],0
Laboratory Exercise Troubleshooting on Packet Tracer [important],0
Urgent Reply - Slack,2
Learning PostgreSQL monitoring,1
reviewing quickly Routine Request (Microsoft Teams),2
Compiling Thesis - important,0
reviewing quickly Notifications (Slack),2
strategizing for Long-Term Planning,1
acknowledging Urgent Reply (Messenger),2
Reviewing capstone revision - urgent,0
following up Event Reminder (Messenger),2
Debugging Project Proposal - high-priority,0
responding Routine Request,2
Debugging capstone revision - high-priority,0
Debugging Technical Documentation - deadline,0
Drafting thesis manuscript - deadline,0
Data Structures Drafting on GitHub [deadline],0
answering Clarification Request (Facebook),2
final: Logic Gates (StackOverflow),0
Reviewing Database Management - final,0
responding Social Media Message (Zoom),2
Thesis Submitting on Jupyter Notebook [rush],0
important: documentation (GitHub),0
instant: capstone revision (Excel),0
reviewing Final Report,1
Testing Final Report - instant,0
attending Faculty Notice (Gmail),2
developing 8086 Assembly,1
Technical Documentation Submitting on Microsoft Word [mandatory],0
outlining for Personal Development,1
Project Proposal Submitting on Excel [high-priority],0
improving Machine Learning Practice,1
Reminder Message - Canvas Notifications,2
reviewing quickly Non-Critical Ticket (Facebook),2
confirming Notifications,2
acknowledging Approval Request,2
Messages - Microsoft Teams,2
Testing Project Proposal - high-priority,0
studying Thesis Planning,1
immediate: Capstone Project (Packet Tracer),0
Compiling Logic Gates - important,0
Testing final report - time-sensitive,0
submission Simulating on Microsoft Word [rush],0
answering Reminder Message,2
asap: 8086 Assembly (Packet Tracer),0
Schedule Change - Zoom,2
Reviewing capstone revision - important,0
roadmap creation for Database Management,1
Reviewing System Analysis - time-sensitive,0
Design Planning maintenance,1
approving Social Media Message (Google Meet),2
improving Testing Strategy,1
scheduling for Requirement Analysis,1
System Analysis Debugging on Excel [urgent],0
replying Email Replies (Gmail),2
Team Mention - Google Meet,2
answering Unplanned Meeting,2
forwarding Document Signature,2
rescheduling Phone Call (Microsoft Teams),2
Project Proposal Formatting on Canvas [important],0
improving Study Session,1
Writing PostgreSQL - critical,0
monitoring Reschedule Notice (Google Meet),2
Coding laboratory exercise - important,0
asap: Final Report (StackOverflow),0
Coding Algorithms - accelerated,0
acknowledging Classroom Announcement,2
Algorithms Drafting on Jupyter Notebook [urgent],0
studying Productivity Planning,1
presentation slides Compiling on Jupyter Notebook [pressing],0
Thesis backup management,1
Designing System Analysis - important,0
Submitting Project Proposal - urgent,0
answering Messenger Chat (Facebook),2
Documentation Improvement backup management,1
critical: capstone revision (Google Docs),0
Learning PostgreSQL preventive review,1
approving Routine Request,2
Algorithms Writing on Google Docs [pressing],0
strategizing for Microprocessors,1
updating Inbox Review (Messenger),2
mastering Clean Code Practice,1
simulation output Compiling on Excel [high-priority],0
Troubleshooting simulation output - immediate,0
Coding Logic Gates - rush,0
PostgreSQL Reviewing on Jupyter Notebook [pressing],0
urgent: Technical Documentation (Proteus),0
updating Messenger Chat (Canvas Notifications),2
answering Reminder Message (Microsoft Teams),2
Final Report Simulating on Packet Tracer [high-priority],0
Thesis Designing on GitHub [priority],0
PostgreSQL Submitting on Canvas [pressing],0
Drafting Circuit Simulation - accelerated,0
Circuit Simulation Compiling on GitHub [time-sensitive],0
approving Verification Request (Slack),2
Drafting Technical Documentation - mandatory,0
following up Minor Revision (Canvas Notifications),2
Laboratory Exercise Compiling on VS Code [final],0
mastering Design Patterns,1
rescheduling Unplanned Meeting (Facebook),2
Debugging Algorithms - instant,0
documentation Simulating on StackOverflow [final],0
forwarding Technical Support Request (Zoom),2
Microprocessors Troubleshooting on Tinkercad [mandatory],0
pressing: simulation output (VS Code),0
replying Minor Revision (Microsoft Teams),2
Database Management Testing on Canvas [instant],0
responding Team Mention,2
checking Document Signature,2
Capstone Project Debugging on Microsoft Word [asap],0
submission Designing on Proteus [important],0
following up Status Update,2
Submitting source code - pressing,0
Troubleshooting Database Management - urgent,0
Group Chat - Canvas Notifications,2
Capstone Project Drafting on VS Code [time-sensitive],0
Algorithms Formatting on StackOverflow [immediate],0
Designing Embedded Systems - urgent,0
Queue Monitoring - Discord,2
reviewing Thesis,1
roadmap creation for Laboratory Exercise,1
Reading Materials maintenance,1
Coding final report - immediate,0
responding Notifications (Microsoft Teams),2
asap: Project Proposal (Microsoft Word),0
responding Quick Question (WhatsApp),2
acknowledging Team Mention (Google Meet),2
Compiling project proposal - immediate,0
laboratory exercise Testing on Google Docs [time-sensitive],0
Laboratory Exercise Coding on Google Docs [important],0
Reviewing source code - time-sensitive,0
Coding Capstone Project - time-sensitive,0
responding Notifications,2
studying Design Patterns,1
organizing for Database Normalization,1
Algorithm Practice optimization,1
submission Coding on Google Docs [critical],0
critical: Project Proposal (Excel),0
rescheduling Phone Call,2
Capstone Project Designing on StackOverflow [emergency],0
organizing for Learning PostgreSQL,1
project proposal Simulating on Canvas [deadline],0
pressing: Embedded Systems (Google Docs),0
Capstone Project Testing on StackOverflow [important],0
monitoring Approval Request,2
monitoring Quick Call (Discord),2
forwarding Administrative Task,2
Administrative Task - Outlook,2
deadline: Algorithms (Google Docs),0
Email Replies - Discord,2
Submitting simulation output - instant,0
responding Unplanned Meeting (Telegram),2
Long-Term Planning preventive review,1
high-priority: final report (VS Code),0
approving Quick Call (Zoom),2
mastering Skill Development,1
following up Faculty Notice (Facebook),2
organizing for Code Refactoring,1
confirming Announcement Review,2
Documentation Improvement maintenance,1
approving Quick Question,2
confirming Discord Ping (Messenger),2
attending Quick Question (Telegram),2
checking Routine Request,2
documentation Compiling on Jupyter Notebook [asap],0
Microprocessors Debugging on Proteus [priority],0
practicing Database Normalization,1
deadline: Data Structures (GitHub),0
thesis manuscript Testing on Packet Tracer [high-priority],0
Database Management Troubleshooting on Proteus [urgent],0
approving Inbox Review,2
Compiling Embedded Systems - important,0
strategizing for Documentation Improvement,1
Technical Documentation Compiling on Google Docs [mandatory],0
Coding PostgreSQL - urgent,0
monitoring Quick Call (Canvas Notifications),2
planning for Algorithm Practice,1
monitoring Unplanned Meeting (Facebook),2
critical: Data Structures (Proteus),0
rescheduling Quick Question (Slack),2
Logic Gates Compiling on Canvas [accelerated],0
Machine Learning Practice monitoring,1
pressing: Laboratory Exercise (Excel),0
priority: documentation (Canvas),0
Submitting PostgreSQL - asap,0
priority: final report (Excel),0
outlining for Long-Term Planning,1
Laboratory Exercise Reviewing on Excel [high-priority],0
Debugging Logic Gates - important,0
forwarding Reminder Message (Discord),2
Designing Circuit Simulation - deadline,0
Testing Logic Gates - asap,0
organizing for Reading Materials,1
instant: presentation slides (Canvas),0
Verification Request - Microsoft Teams,2
deadline: presentation slides (Canvas),0
developing Goal Setting,1
Follow-Up Request - WhatsApp,2
Workflow Improvement maintenance,1
following up Notifications,2
developing Algorithm Practice,1
source code Formatting on Proteus [deadline],0
improving Git Practice,1
Logic Gates Reviewing on Excel [accelerated],0
acknowledging Schedule Change,2
time-sensitive: final report (Proteus),0
responding Verification Request (Microsoft Teams),2
thesis manuscript Troubleshooting on GitHub [critical],0
Capstone Project optimization,1
outlining for Productivity Planning,1
Meeting Request - Microsoft Teams,2
high-priority: documentation (GitHub),0
Simulating Technical Documentation - important,0
Thesis Testing on Tinkercad [instant],0
checking Technical Support Request (Zoom),2
Habit Tracking backup management,1
Reminder Message - Google Meet,2
Laboratory Exercise Designing on Excel [time-sensitive],0
pressing: Circuit Simulation (Excel),0
improving Portfolio Building,1
urgent: Embedded Systems (Excel),0
mandatory: Database Management (Jupyter Notebook),0
researching Cloud Fundamentals,1
rush: 8086 Assembly (Google Docs),0
accelerated: presentation slides (StackOverflow),0
Task Reminder - Zoom,2
Troubleshooting Algorithms - pressing,0
mastering Data Structure Practice,1
scheduling for Capstone Project,1
high-priority: thesis manuscript (Jupyter Notebook),0
thesis manuscript Simulating on Tinkercad [important],0
Software Design maintenance,1
Learning Embedded Systems cleanup,1
documentation Coding on Jupyter Notebook [pressing],0
Chat Support - Canvas Notifications,2
Learning PostgreSQL cleanup,1
Compiling Laboratory Exercise - pressing,0
updating Schedule Change (Messenger),2
Laboratory Exercise backup management,1
laboratory exercise Drafting on Canvas [accelerated],0
Microprocessors Reviewing on Jupyter Notebook [rush],0
updating Reschedule Notice (Discord),2
Testing laboratory exercise - urgent,0
priority: Thesis (Jupyter Notebook),0
updating Status Update (Telegram),2
8086 Assembly Formatting on VS Code [mandatory],0
checking Messenger Chat (Gmail),2
pressing: project proposal (GitHub),0
Capstone Project Troubleshooting on Jupyter Notebook [final],0
mastering Infrastructure Planning,1
Data Structures Coding on VS Code [mandatory],0
responding Approval Request (Telegram),2
emergency: thesis manuscript (Proteus),0
scheduling for Career Development,1
rescheduling Discord Ping,2
acknowledging Quick Call,2
Client Inquiry - Canvas Notifications,2
Final Report Designing on StackOverflow [urgent],0
Drafting System Analysis - final,0
planning for Logic Gates,1
updating Classroom Announcement (Outlook),2
updating Meeting Request,2
Announcement Review - Outlook,2
Data Structure Practice refactoring,1
organizing for Logic Gates,1
checking Messages (Canvas Notifications),2
Submitting simulation output - asap,0
priority: presentation slides (GitHub),0
presentation slides Drafting on Microsoft Word [instant],0
asap: simulation output (Packet Tracer),0
researching Cybersecurity Learning,1
monitoring Quick Call,2
Debugging submission - rush,0
Formatting Capstone Project - deadline,0
System Analysis Coding on Jupyter Notebook [critical],0
Coding 8086 Assembly - critical,0
developing Prototype Improvement,1
acknowledging Clarification Request (WhatsApp),2
Logic Gates Coding on Google Docs [immediate],0
reviewing quickly Messages (Slack),2
presentation slides Debugging on Canvas [urgent],0
forwarding Reschedule Notice (Telegram),2
Database Normalization optimization,1
Simulating Circuit Simulation - urgent,0
following up Calendar Notification (Zoom),2
Submitting Laboratory Exercise - important,0
Formatting submission - high-priority,0
improving System Architecture,1
DevOps Learning refactoring,1
Machine Learning Practice maintenance,1
immediate: Project Proposal (Packet Tracer),0
Writing simulation output - time-sensitive,0
replying Clarification Request (Telegram),2
Learning PostgreSQL backup management,1
submission Reviewing on VS Code [instant],0
Testing Final Report - emergency,0
Designing final report - emergency,0
Cloud Fundamentals optimization,1
presentation slides Writing on Packet Tracer [mandatory],0
responding Attendance Check (Microsoft Teams),2
immediate: Laboratory Exercise (Jupyter Notebook),0
Troubleshooting Data Structures - immediate,0
Debugging laboratory exercise - critical,0
final report Formatting on GitHub [deadline],0
Routine Request - Facebook,2
Logic Gates Testing on Microsoft Word [instant],0
important: laboratory exercise (Packet Tracer),0
checking Quick Call (Messenger),2
reacting Routine Request (WhatsApp),2
Routine Request - WhatsApp,2
roadmap creation for Database Normalization,1
laboratory exercise Debugging on Microsoft Word [rush],0
Debugging Final Report - mandatory,0
outlining for Data Structures,1
confirming Unplanned Meeting,2
Knowledge Review cleanup,1
Coding Technical Documentation - mandatory,0
Thesis Testing on GitHub [urgent],0
high-priority: Algorithms (Google Docs),0
Writing submission - critical,0
Designing Thesis - time-sensitive,0
confirming Minor Revision (Outlook),2
approving Attendance Check,2
Compiling Data Structures - emergency,0
Circuit Simulation optimization,1
scheduling for Time Management,1
documentation Reviewing on GitHub [asap],0
Inbox Review - Discord,2
developing Exam Review,1
critical: laboratory exercise (Packet Tracer),0
time-sensitive: capstone revision (Microsoft Word),0
confirming Follow-Up Request,2
practicing Capstone Project,1
responding Unplanned Meeting (WhatsApp),2
approving Quick Question (Messenger),2
researching PostgreSQL,1
rush: capstone revision (VS Code),0
Logic Gates Designing on Google Docs [instant],0
emergency: Capstone Project (VS Code),0
PostgreSQL Simulating on Canvas [asap],0
rescheduling Chat Support (Telegram),2
Database Management maintenance,1
replying Messenger Chat (Outlook),2
Database Management Testing on Excel [asap],0
documentation Reviewing on Packet Tracer [asap],0
Classroom Announcement - Telegram,2
Client Inquiry - Telegram,2
practicing Optimization,1
planning for Data Structure Practice,1
Capstone Project preventive review,1
monitoring Clarification Request,2
attending Client Inquiry (Zoom),2
updating Follow-Up Request,2
Reviewing Microprocessors - mandatory,0
replying Event Reminder (Discord),2
emergency: capstone revision (Tinkercad),0
improving Long-Term Planning,1
Reviewing Algorithms - instant,0
forwarding Messenger Chat,2
Algorithms Drafting on VS Code [time-sensitive],0
immediate: Database Management (Google Docs),0
acknowledging Technical Support Request,2
PostgreSQL Simulating on Jupyter Notebook [asap],0
rush: Technical Documentation (Canvas),0
rush: capstone revision (Tinkercad),0
approving Group Chat (Facebook),2
Non-Critical Ticket - Messenger,2
Coding presentation slides - emergency,0
organizing for Study Session,1
Productivity Planning optimization,1
strategizing for Future Proposal Drafting,1
checking Urgent Reply,2
developing PostgreSQL,1
Debugging project proposal - deadline,0
pressing: source code (Tinkercad),0
Time Management optimization,1
developing Code Refactoring,1
Final Report Writing on Microsoft Word [urgent],0
documentation Simulating on Canvas [emergency],0
Microprocessors Designing on Canvas [instant],0
rescheduling Phone Call (Discord),2
outlining for Data Structure Practice,1
acknowledging Messages (Telegram),2
Troubleshooting Circuit Simulation - asap,0
roadmap creation for Design Patterns,1
reviewing Future Proposal Drafting,1
researching Technical Reading,1
Testing source code - pressing,0
deadline: Capstone Project (Excel),0
developing Performance Optimization,1
confirming Group Chat (Gmail),2
scheduling for 8086 Assembly,1
checking Group Chat (WhatsApp),2
organizing for 8086 Assembly,1
Group Chat - Microsoft Teams,2
developing Workflow Improvement,1
Database Management Testing on Canvas [asap],0
approving Minor Formatting Request,2
submission Troubleshooting on VS Code [important],0
Designing Final Report - deadline,0
priority: Thesis (Proteus),0
monitoring Minor Formatting Request (Gmail),2
