"ID","Strategy"
"1702332820108","The ones with most points and later expiration go first and the least points with faster expiration dropped."
"1702332821349","I tried to choose the tasks that had the highest point value."
"1702332822102","first i ordered the turns from low to high and got rid of the highest one then I start ordering them by points and try to keep the highest point ones. But I was not sure which one was the best strateg"
"1702332824760","I eventually realized that the sum total of ""Length"" had to be less than or equal to the ""Deadline"" of the next round.  Then I just tried to maximize the points.  "
"1702332827933","I tried to find the sequence of tasks that resulted in the highest possible total points."
"1702332832219","Sometimes I go for the highest value and other times I go for the longest expiration time."
"1702332842199","I simply prioritized the task that provided the most points and dismissed the other tasks."
"1702332844843","I simply tried to figure out if I had enough time in-between tasks. If I did not, I found the task that had the least reward and dismissed it."
"1702332854294","I just tried to make sure that the time it took to make them fit the rounds and that the lowest numbers were dismissed."
"1702332856662","I looked at the points they would give and took the ones I did with that in mind."
"1702332859751","I have to be honest, I was thoroughly confused.  I tried to select the tasks that were highest in value first."
"1702332860129","I tried to put them in order of the highest points.  However I wanted to use the one that had used the least amount of turns."
"1702332870669","I just went as fast as possible."
"1702332871517","I wanted to prioritize high earning tasks as much as possible."
"1702332873798","I tried to remember which choice made the least amount of unusable boxes."
"1702332880623","I went with the highest point total in grouping between 1-5 / 5-10 / 10-15 / etc."
"1702332887617","I started with the second highest or third highest points available per task. Then as I selected those I would try to select the rest remaining that didn't clear in order of highest to lowest."
"1702332890907","at first i got confused and just guessed then i looked at the time then the points to try and make a better guess, then i decided i would wing it and see what options were left to me when i chose rand"
"1702332896355","I just did what the intructions instructed. I tried to earn the most possible points by choosing the highest paying rewards and stacking them on top and then the lowest on bottom."
"1702332897292","I tried to see how much time I had to do the task and tried to pick the biggest ones that were available to me that were expiring the soonest. "
"1702332898165","I tried to score the most points as possible."
"1702332901649","I tried to choose the the task with the highest number of points first, then the remaining task with the next highest number of points, and then I clicked on any tasks remaining."
"1702332901744","I tried to account for both the deadline and the point values."
"1702332903538","I tried to pick the top two tasks that gave me the most points. I then tried to see if I could add a task or two . It was trial and error. "
"1702332911136","I tried to prioritize the tasks with the most amount amount of points before they became unavailable."
"1702332915873","I tried to focus on options with the most points."
"1702332919323","At first I dismissed tasks based on whether or not I had enough tries (ie. turn 5 to turn 10, turn 8 is in between, so dismiss 8 since it can't be done with enough tries. But then I just guessed."
"1702332920044","i chose to maximize my point the best way i could without thinking too hard about it"
"1702332925098","I tried to find a strategy but was still lower than expected. I was always lower than what the optimal number was."
"1702332932354","I tried to get the turns to add up to number close to 30, with each of the numbers being reasonably high."
"1702332933862","I did the biggest points first."
"1702332940559","I focused on doing tasks that gave more points and had earlier deadlines. This way, I aimed to get the most points possible, and I dismissed tasks that couldn't be finished on time"
"1702332944440","I tried to complete tasks which deadline's expired first. If left with fewer options I completed to tasks worth larger amounts of points."
"1702332944749","I tried to view the deadlines and how many points were available on each task to try to maximize the point total."
"1702332951712","First I was picking the tasks with the most points because the part about the expiration was confusing. Then I tried picking by deadline first and that let me pick more than 3 tasks per round."
"1702332956807","i considered the deadlines more than anything. i wanted to make sure i took advantage of timing each task the best way i could to maximize the payout. "
"1702332957285","I clicked on the task worth the most points."
"1702332961045","I was trying to figure out which task paid the most. I tried different tasks"
"1702332961307","Honestly I was very confused by the task and really am not sure what exactly my goal was 100%. I know I was to get the most points, but I was just kind of confused by the task."
"1702332962022","I tried to figure out which way was best by alternating the order in which I picked them. At first I thought it was highest to lowest, but that did not work. So I tried other ways. I went back to high"
"1702332963137","I tried to order the tasks by the highest number of points that would complete by the required multiples of 5."
"1702332964334","I used the dead line to figure out when I wanted to do task.  After that I went by what would collect the most points when I knew that I would miss one."
"1702332968266","I chose the highest amount."
"1702332974135","I WAS LOOKING FOR THE AMOUNT OF TASKS.  I WAS TRYING TO FIND WHICH WOULD BE MORE CHALLENGING BASED ON TASKS."
"1702332975727","I thought about the points I could earn and tried to choose from there."
"1702332976097","I usually started with the option that had the most points available and then the next highest point option, etc."
"1702332979084","I tried to complete as much as possible."
"1702332986334","I simply prioritized the tasks in order of the greatest number of points. I tried to just do the number of tasks that I could accomplish in 30 and get the highest number of points."
"1702333004081","I just selected the maximum number of points as my option to increase the percentage value."
"1702333009011","I ordered the tasks in terms of deadline. I tried to see which conflicted with each other and/or exceeded the deadline and removed those with the lowest point values."
"1702333012515","I just did the best I could. I hope that I did well. "
"1702333018645","I don't really know. I was just starting out with the longer points tasks first."
"1702333021897","I always tried to start with the one that had the shorted amounted time left - I didn't want to lose out.  I tried going up the line in order by time left."
"1702333025080","Tried to get the lowest with the highest points."
"1702333026495","I tried to find a good balance between points and work. I also did some trial and error to see what produced the most points."
"1702333041762","The common strategy I employed here was to aim for the highest points possible."
"1702333044070","I just randomly changed the order in which I chose which tasks to complete and hoped for the best."
"1702333049024","I tried to maximize my point earnings."
"1702333052343","I took on tasks that took the shortest amount of time first and went up that way."
"1702333053705","I put them in order from which expired soonest to latest, and I tried to complete the most tasks I could while keeping them at least 5 rounds apart."
"1702333056690","I have been choosing to complete the short deadlines with the bigger point amounts first.  "
"1702333064856","I pick the ones that gave the most points and also had the least turns."
"1702333068960","I tried to let certain tasks expire if they did not offer enough points vs other tasks in the same time frame"
"1702333074334","Mostly review the timeline and deadline and the value of the line item and go from there. Hoping that the other values dont grey out"
"1702333076269","I looked at the point value while also taking into consideration the deadline when I made my decision. I would make sure the deadline didn't fall before I could do the task."
"1702333085109","I ordered them by expiration time then took out the ones that gave the least points "
"1702333088493","My strategy was balancing out the points with the deadline. I did what I felt was right in the moment. A lot of the time even though the points were higher for one task, I chose the smaller one."
"1702333091509","I tried to concentrate on the points and getting the tasks with the greatest points. I tried to maximize points and tried to do the highest point tasks first."
"1702333103634","I tried to prioritize tasks that expired soon, provided they had a good payout. If the payout was substantially lower than other options, I wouldn't consider it even if it was set to expire."
"1702333112884","I didn't really have a strategy. I just played random numbers"
"1702333118541","I went with the highest points as my strategy."
"1702333120719","Well, I wasn't ENTIRELY sure of the judging process on your end, but I associated the larger numbers with the higher scores. I tried to get those in and in descending order (by number size). "
"1702333126854","I prioritized the one with the most points available."
"1702333132678","I'm trying to figure out when tasks expire. There seems to be a combination of not picking the highest amount, and not picking the lowest amount, to get the optimal amount. "
"1702333141537","I was trying to do my best to figure out the optimal ones. But I missed on a lot of them!"
"1702333154389","I was trying to maximize my points"
"1702333155501","I mainly tried to get the most points in the fewest amount of turns."
"1702333159912","I tried to maximize the number of points earned."
"1702333160569","I tried to choose the tasks that had the highest point values before they expired. I tried to complete as many tasks as possible."
"1702333169288","I tried to go for was was expiring first and start with those. I also tried to chose the one worth more if one was going to expire the same time I make a choice."
"1702333176652","I chose the option that had the most return in points and then chose lower point choices"
"1702333181136","I tried to scan all options and choose the option that would give the highest points, and after that choose the next options with the highest points, and so on."
"1702333183165","I had no strategy literally. Because I have no idea what I just did. I can tell you every single thing that was on the pages verbatim but I have no idea what I just did to get to the next round I"
"1702333183507","I added up the projected optimal score."
"1702333183607","I tried to select the largest value of points with the shortest amount of time.  I than thought it might be wise to select more tasks with shorter time period in order to get more tasks complete in a "
"1702333184285","First I organized the board by turn completion. Then, I looked at the highest amount of points first and looked for tasks that finished on the same turn prioritizing point amount."
"1702333191769","I tried to use the first ones first while calculating how many turns would be needed for the subsequent positions. "
"1702333194685","I tried to select them in an order that would earn more points. "
"1702333195531","I tried to get rid of the task with the lowest points first and target only those that were high. "
"1702333205201","I was trying to find a pattern throughout the trails. It appears going by deadline gave me more points towards the later rounds. "
"1702333208690","At first I went for the highest points first, but as I saw how things were playing out I focused on deadlines first."
"1702333212409","I begin with the one that has a lot of points."
"1702333213463","I attempted to find the highest scoring tasks and prioritizing it that way.  I literally adjusted the tasks that I thought I could finish in the time given and dismiss the other tasks.  It wasn't easy"
"1702333214157","Lowest to highest turns. lowest to highest amount paid per turn."
"1702333219943","I tried to map out the best choices with points first, then I set them by priority level."
"1702333223588","I chose the tasks with the highest points."
"1702333224713","I tried to keep the highest amount without giving up any order. Wanted to make sure that most of them could be done"
"1702333232432","The strategy that I attempted to employ for the task management game was to identify and select the task with the lowest deadline and highest point value and try to complete as many tasks as possible."
"1702333232543","I chose to focus on the task that rewarded the most points within the deadline."
"1702333243089","I honestly just look at the points and did math in my head and tried to determine what was the best."
"1702333245370","I tried to pick the highest first but that didn't work too well.  I pretty much have no strategy."
"1702333248816","I just got rid of all the ones that took low amounts of turns and got rid of them then ordered the rest in terms of turns and points given."
"1702333287378","NOTHING OTHER THAN TRYING TO PRIORITIZE HIGHER POINT OPTIONS FIRST"
"1702333288554","I was doing my best to maximize points. It took me a minute to remember how to dismiss best. "
"1702333290746","Based on my knowledge I choose"
"1702333292299","I tried to get the most points possible."
"1702333296641","I tried to each time find the highest value goal of the ones that would be eliminated with the next choice"
"1702333313160","I tried to count off by five to determine which items I could feasibly do, and tried to leave as little a gap between them as possible. I also prioritized points, to a lesser extent. "
"1702333323097","At first I went after the largest points, then I tried in order of deadline, then I went back to largest. It seemed like it was a toss up no matter what."
"1702333325796","At first I tried to get as many tasks done as possible, then I realized it's better to just drop the lowest  points totals and make sure the highest point totals are always included."
"1702333332620","My strategy was to select the tasks with the higher points. My goal was to maximize my potential bonus. "
"1702333343540","I look at which tasks are going to expire soonest and do those unless there's one close to it that has a higher reward."
"1702333359978","I tried varying strategies, like choosing the highest number of points and when that didn't work I started choosing less high numbers and some low numbers as well, to try to get the maximum amount."
"1702333373179","I chose the tasks that I believed had the highest returns via deductive reasoning"
"1702333378359","When there wasn't enough time to complete all the projects, I would prioritize the projects worth the most points.  It was pretty simple and there really wasn't much strategy beyond that."
"1702333404844","I realized that I would have to risk it one some tasks to get the most points."
"1702333409397","To try to get the most points possible without going over 30 turns"
"1702333418959","I wanted to make sure I picked the tasked with the most points in case they became unavailable."
"1702333422175","I first aligned the tasks by the number of turns for the deadline. I then removed the ones that would not be able to be done in the deadline, or and removed duplicates with smaller reward."
"1702333423092","What I thought was best."
"1702333446108","I chose turns that had the highest number next to them."
"1702333454537","I considered each deadline as belonging to one of five potential tasks based on their deadline.(turns 0-5, turns 6-10, etc.)  Then I picked the highest paying task in each set of turns."
"1702333457505","I tried to prioritize ordering the tasks according to duration of the deadline. I would choose the closest deadlines first and then try to choose in order to maximize the total number of tasks."
"1702333460988","I looked at what tasks expired first and if two had a similar expiration date such that I couldn't do both, I did the one with the higher point prize. I did the others with the highest points after."
"1702333468371","I honestly was confused on this game. I guessed that I would try to keep the top 2 with the highest score."
"1702333471314","I tried to find the tasks that gave the most points and I did my best to prioritize those tasks. I didn't really have any other strategy."
"1702333491193","The highest paying was my first pick, then I would look at how many turns it was.  So basically a ratio of reward to turns and then I tried to pick the two that put me closest to 30."
"1702333516739","try to add some points smnartly"
"1702333527757","I first ordered everything by deadlines. I then tiered them all by 5s and chose the top value ones in tiers of 5."
"1702333540552","I tried to figure out which high points tasks to do first that would also leave me time to get other high point tasks as well. So I didn't always take the highest first, if it had more time."
"1702333592318","I tried to click on the largest number first and the second largest number after that."
"1702333610166","Choose the task with the earliest deadline. If there were multiple tasks that had deadlines in the same timeframe, choose the higher pay."
"1702333617365","I didn't really have one. It kept saying invalid order."
"1702333630013","I focused on the tasks that had the shortest deadlines out of them all. I would then select the task that had the best point to deadline ratio and then I would move on to the next set of tasks."
"1702333630109","I looked at the potential score for each task. I then used this information to try and get as many of the highest potential scoring tasks done."
"1702333721616","I ordered them first with lowest turn and highest number of points.  I then chose to dismiss the lowest points with the lowest numbered turn so that they wouldn't expire."
"1702333728246","I tried to maximize by calculating the points in my head."
"1702333744828","I wanted to try and get the jobs with the most points done before they expired."
"1702333783086","I went for the highest number of points first, and tried to relax my eyes and just focus on numeric value."
"1702333785020","Trying to make sure I could get the highest scoring tasks done. ""Sacrifice"" some of the tasks to ensure the others were done and not always trying for maximum."
"1702333789763","I would try to choose the tasks with the most points.  I know that was not always optimal but I could not figure out the pattern that would consistently get me all the points."
"1702333807530","I went with the higher scoring options. Then to the next highest and so on."
"1702333822603","I tried to complete the four highest point tasks but it appeared that it was not actually possible to do that."
"1702333826755","I tried to dismiss the least scores and time alloted ones. I ordered the others."
"1702333866289","I tried to do the tasks that gave me the most points. I also tried to do tasks that were not gonna expire."
"1702333872168","I actually just clicked the fastest that I can, hoping to click as many as possible. Not the best strategy, now I know."
"1702333875178","I was prioritizing rounds with high scores. I dismissed lower scores."
"1702333940580","I chose the tasks with the highest points first and then the ones that were the next highest in points."
"1702333959024","Went with the highest points within the time frame. Took me a few rounds to really get the hang of it."
"1702333977943","I tried to prioritize the larger point amounts, but also considered the length of time it took."
"1702333983410","firstly i tried to prioritize the task that gave the most points in order to ensure they aren't dismissed. After that I put it in the order, trying to guarantee at least 50% each time"
"1702334009987","I tried to dismiss the tasks that were on the lower end of the point scale, thus saving the higher rewards for me. There were times when I couldn't avoid this, but tried to at least get half of them."
"1702334080579","I tried to put the highest points possible with the most amount of tasks that would make a valid one. Many times, I would submit, but it would tell me it was invalid. So I chose highest value I could."
"1702334145569","There was no real strategy as the system only allowed very very specific responses. So I went with whatever was the first to work."
"1702334193370","It seemed like you basically could always get in task with the closest deadline first, then you needed to prioritize which ones to hit as the rounds passed given when they'd expire."
"1702334210445","I put the ones that were going to expire first at the top of the list and then I made sure to take one out that might expire and focus on the other ones."
"1702334291763","I counted by 5's on each one and took away the lowest value one that was under the current 5 increment that I was counting."
"1702334390687","I just went with the lowest time with the highest payout combined with the shortest deadline."
"1702334446817","Calculate the time gaps with the Turns required and within the suitability maximize for points. Also please consider a lower point turn can be ignored with a higher point turn with a higher Time avail"
"1702334518243","I tried to complete the tasks with higher points first and complete as many as possible in the shortest time."
"1702334551417","I went for what would try to allow me to gain more points. "
"1702334572836","I was trying to maximize by choosing the highest point tasks first. "
"1702334587074","I was trying to get the most points.  It was difficult."
"1702334604193","I tried to focus on gaining the most points as well as trying to figure out (in my mind) how many rounds I could do for each set. If it didn't work I adjusted my choices."
"1702334826655","Based on points quantity and the deadline duration. "
"1702334830417","I first sorted the tasks by their deadline. And then I focused on the highest scoring tasks, choosing to dismiss other tasks in preference to them. "
"1702334868884","I prioritized tasks based on how many points I got and how it affected other tasks as well. Sometimes it was better to dismiss a task because other tasks would be available."
"1702334923149","I just pick whichever has the lowest turn."
"1702334951216","I looked at the points each was worth. If it was not worth a lot of points I dismissed it, and I prioritized the list based on when it was due."
"1702334976003","i picked the task that was closest to expiring with the highest payout."
"1702334996865","I chose by the number of points. I tried to choose in reverse order (so the largest number of points, then the next largest, etc) but I saw that many of them were expiring so I tried to choose faster."
"1702334998144","I went for the largest points and hoped the deadlines weren't too large. "
"1702335012660","Just went by a certain pattern. Also repetition"
"1702335068320","Just tried to decide what steps in order would lead me to maximum output. I did not do too well."
"1702335095760","First I ordered them by needed completion time. Then I just determined which one to eliminate with the lowest points that would keep the rest meeting their time frames."
"1702335177748","I tried to get the most points in each round.  But, the instructions were very confusing.  If each task takes 5 turns, why did they have deadlines far above 5?  Can you re-vamp the directions?"
"1702335178996","I tried to get the most points each round. I would edit the top menu until it would submit the score I put in. The dismissed tasks would be taken out as they wouldn't fit the total I had."
"1702335195677","I did not use any specific strategy."
"1702335239719","I tried to go for the higher paid tasks first "
"1702335274865","I arranged the tasks first by their deadlines, and then tried to eliminate any conflicts, while maximizing the points."
"1702335278689","I arranged the tasks in the turn deadlines with the soonest first. Then I looked at the lowest score and eliminate those. I made sure all the deal line were met then submitted."
"1702335304817","I chose the task with the highest point total first, then chose the others with the highest point total until I finished."
"1702335311786","i went with speed over anything else."
"1702335331618","Select areas have more points "
"1702335333301","I compared the numbers with what round they must be completed by and determined if it was worth it to skip certain choices based on whether or not a higher 2 choices would be better."
"1702335350474","I generally went from lowest deadline number and tried to work my way up to the highest. They were all the same length so I don't think that mattered."
"1702335448209","I tried to vary my options. I didn't look at the lower or higher or lower options."
"1702335628437","I placed in the order and went with the tasks I thought would give the most points."
"1702335673850","I didn't prioritize. I went from top to bottom."
"1702335736012","Plan in 5s"
"1702335932994","I was trying to maximize points."
"1702336098285","I tried to choose the task with higher points first to get the overall points up."
"1702336144187","I analyzed all the factors but most importantly the deadline so that they wouldn't interefere."
"1702336339547","I tried to start from the first in the list and work through systematically. I eliminated options that were worth fewer points."
"1702336427236","I just chose the highest value task that needed to be done the earliest, then the next earliest and so on.  If there were multiple tasks expiring in the same 5-minute section, I only kept the highest."
"1702336443048","I really don't think I understood. Each turn turning 5 and we were given 6 options but the turns were always above #6, which would mean each turn could only have #6 or below... no?"
"1702336447204","i STARTED WORKING FROM THE TOP TO THE BOTTOM THEN i TRIED FROM THE BOTTOM TO TOP"
"1702336448196","I Considered the importance of choosing tasks carefully and with speedily pace. Amen."
"1702336456350","Maximize the total number of tasks possible up to 30, while managing the maximum total value of each task."
"1702336458081","        highest points first"
"1702336468041","I just clicked on each task as quickly as I could, because it seemed to me that that was what you were supposed to do. "
"1702336468175","I tried to dismiss the tasks that have less points."
"1702336470271","do the most urgent stuff with the highest repay. and I start with easy ones that pays more."
"1702336473602","i just took the highest number most of the time"
"1702336484877","Honestly, I was unable to come up with a real strategy. I just tried various combinations until the number of tasks were accepted. Pretty frustrating experience."
"1702336486912","I first sorted everything by the deadline just to organize things.  Next, I noted which situations had conflicting tasks and chose the higher-valued one of each conflict."
"1702336489299","I went for the tasks with the highest point values in each round to maximize my bonus potential."
"1702336492196","I tried to get the ones with the most points first."
"1702336493096","I went for the most points. I also considered the deadline. "
"1702336506118","i wanted the most money i couldnt really think of the best solution to be honest so i just went for the highest number "
"1702336516629","I tried to choose the highest amounts. I had to try several times to get the best"
"1702336518298","Just guessed what I felt like in each game. "
"1702336526085","I chose tasks that offered the highest points within reasonable duration."
"1702336531424","I attempted to maximize my points"
"1702336548929","I ranked them all by deadline, then I reviewed if I could get them all done in that order if I kept all of them. Any that I could not complete in time, I removed with the smallest amount of points. "
"1702336558730","starting from the last option earns me more points"
"1702336562658","I attempted to complete the tasks as fast as possible. I also tried to see which combinations would result in the most completed tasks."
"1702336594466","I took basic random guesses what felt right. I also wanted change things no one pattern."
"1702336607363","Compare the points of each task for the same slots (<=5, 10, 15, 20, 25, 30), choose the highest one. Do the earlier deadline task with more points first. "
"1702336613484","I dismissed the highest point tasks. "
"1702336643167","I tried to get rid of the lowest points first, and than I tried to narrow it down even further by going to the next lowest amount. "
"1702336659492","I tried doing top to bottom first thinking that it would be easier to gain points. Then I decided to do the higher point ones first but there were less to do after checking them. "
"1702336864012","Only strategy was to go as fast as possible, timing appears to be random."
"1702336901910","I sorted them by their deadline.  Then I looked at the threshold I had to get each done by and filtered by the higher point totals."
"1702337085444","sorting based on deadline then determining how many I need to remove to get optimal result."
"1702337106770","The strategy I prioritized was going off my intuition in hopes of maximizing and receiving the best outcome possible."
"1702337209280","I took the deadline into consideration, but looked for the highest point value items first relative to that."
"1702337230175","Honestly, I had no real strategy. I was kind of winging it to figure out what caused a task to expire in order to maximize points, as that was never explained. I wasn't able to detect a pattern."
"1702337243913","went from smallest to highest turn and removed the lower point options"
"1702337340101","I was trying to prioritize tasks with higher point values and earlier deadlines to maximize my score"
"1702337407324","After I got the hang of it, I made sure to do them in the order of what their deadlines were in ascending order. If there were 2 with the same deadline, I chose the one that gives the greater reward."
"1702337412000","I tried to concentrate on the amount of points first and then looked at the deadline. On a few of the other tasks I reversed my strategy to see which worked best."
"1702337510728","I tried to first choose the ones with the highest point value.  then I also tried to choose the ones that lasted the longest so they wouldn't expire before I could choose them. "
"1702337513196","I just tried to use my intuition to do the best job."
"1702337546493","Randomly selected without much using ant strategy"
"1702337613999","i went with my gut"
"1702337619777","I wasn't sure what a good strategy was. I thought the deadline number mattered, but wasn't sure. So, I mostly chose the tasks with the highest number first."
"1702337711075","I just put them in order of expiry and picked the ones that had the highest number of points and were valid in the timeframe I had. Then I'd double check with the ones i had dismissed to make sure."
"1702337878810","I first looked at what expired first and prioritized that.  Then I looked at the amount and if the expiration was close, I would choose the one with a bigger payout."
"1702338242156","I just looked at the turns I had to complete and the point values, and tried to figure out which high point tasks I could complete. I tried to avoid low points unless I could also complete better ones"
"1702338406849","I tried to identify the highest points per turn task to keep and dismiss the others"
"1702338421882","tried to get most points in fewest tim"
"1702338587249","to click each one as fast as possible"
"1702338696269","It took a moment for me to understand that I could take multiple clicks.  Once I did, I went for those with the quickest deadline to try to capture as many points as possible."
"1702338834885","used high prioritize tasks in the study"
"1702338851852","It took a bit to figure out, but I tried to identify the maximum points and then figure out how to schedule them within the requisite time frame. "
"1702339263057","The time space between the turns helped me to decide which one to play and which one to dismiss.  I also decided based on the points of the turn."
"1702339386338","I aimed for the tasks that would yield the highest amount of points."
"1702339736540","i used numerical order using the 2 number categories to rank the tasks."
"1702339806419","I wanted to maximize the amount of points I earned."
"1702340057577","I prioritized tasks that had the most points, so I would get the most out of my time."
"1702340090347","I changed strategy midway through the game. First I selected tasks with the highest points. Later, I switched to finish first tasks with the lowest deadline value."
"1702340138037","I went with my gut feeling and choosing what thought would give me the better end results"
"1702340142070","I looked at the deadline first all of the 6 choices to see how to maximize the most possible choices I could. I looked at how many points for each choice to ensure I maximized when I had to choose."
"1702340174561","I tried getting them all done before they expired."
"1702340193540","trying to eliminate the most over average as possible"
"1702340960284","I tried to calculate the highest amount of points while applying to rules of the game. I also tried experimenting with certain patterns to see if things would work differently."
"1702341288950","Nothing "
"1702341326098","I tried to pick out the ones that would give me the most points and then rearranged them in to the order where I would finish by the deadline then started dismissing ones that gave fewer points."
"1702341580262","i went with my gut instinct."
"1702341718755","The tasks expired too fast to have a strategy. It was basically just clicking as fast as I could."
"1702343192136","Biggest points first."
"1702343882891","I sort the tasks by TURN from smallest to largest, the number of TURNs divided by 5 if it's less than their position, then DISMISS!"
"1702350960785","I looked at how many points each task earned and when each would expire to determine which were best to let expire in order to get the most points possible."
"1702354390911","I simply select the task with the largest value to complete. More points I think."
"1703257100667","test"
"1704743088119","test
"
"1704987265732","I looked at the value of the task and then the deadline."
"1705277475643","I just randomly select."
"1705279176636","I tried to see the point value and see how worth it was to pursue that value, and tried to weigh this versus the urgency (how quickly it was going to expire)"
"1705279178335","I would start with the tasks that had higher amounts of points to gain those first."
"1705279370373","I just tried to start clicking and see what happened.  If I thought too long they expired."
"1705281081734","I aimed to try to complete the tasks with the most possible turns first, before I tried to complete whatever tasks are left and have available turns, and haven't expired."
"1705281173013","I went for the higher priority payouts first, and then went for ones further down the chain."
"1705281240019","I tried to prioritize completing high point value tasks before their expiration and also completing as many tasks as possible."
"1705282446157","I mainly paid attention to when they would expire and prioritized picking those that expired early first. "
"1705282449178","I tried to start with the most points the first and then went to the second most points and so on. I wanted to maximize my points."
"1705282470031","Just do tasks in order.  Bonus, if it exists at all (deception study), isn't worth doing mathematical modeling to obtain."
"1705282471578","I tried to do the task with the most points per minute first and then the largest point totals after that. "
"1705282472219","based on the length available i choose them"
"1705282608902","I tried  to maximize my points."
"1705282736738","I picked tasks depending on the order of the expiration dates, from closest to furthest away."
"1705282746201","I looked for the highest points and tried to move as fast as I could to get all the highest points or ones still available."
"1705282775303","I tried to get the ones with the least amount of clicks needed, and the most amount of time I prioroititized lower. "
"1705282846027","I looked at the highest point totals and closest due dates and tried to make the math work."
"1705282877447","I was just trying to prioritize my total based on what I thought would disappear first."
"1705283331474","I tried to pick the best options given the information provided. "
"1705283676356","I went for the ones with the higher points but also with quicker deadlines"
"1705283787829","I was a little confused initially but I improved my strategy and approach with each round.  At first, I was more focused on points and then, I shifted my strategy to focus on the deadline time."
"1705283949124","I tried to plan out the optimal route through the tasks to claim high paying rewards before they expired without compromising my ability to get the high paying rewards later on in the round."
